Median_Household_Income_2018,Percent of Population Aged 60+,STATE_NAME,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019)
61773.0,21.8,50,42.6,32.6,7.7,10.7,3.0,207.9,199.6,76.2,10.6,10.4,7.411168057,4.172021179,0.751482076,3.420539103,9.74335381,14.09676721
60862.0,18.1,32,34.3,25.4,6.6,11.6,3.2,375.1,304.1,94.8,10.2,7.4,79.88,42.78,21.93967836,84.99,70.31,237.56
44041.0,27.8,43,53.0,38.2,9.7,13.8,3.6,224.8,199.9,66.5,6.2,5.4,7.48350498,4.416779758,0.395340718,8.20917819,7.265803017,25.62382342
46628.0,17.4,10,47.6,37.4,7.6,14.3,3.4,228.7,202.9,71.9,7.0,6.1,79.88,42.78,2.676293256,84.99,62.9574917,236.030608
43478.0,22.5,24,50.4,38.6,9.8,15.1,3.6,191.3,174.8,61.2,7.1,6.7,23.89114792,1.225480742,1.133856014,13.50319434,12.56404088,38.72290082
35871.0,23.8,40,55.2,40.1,10.0,18.1,4.3,229.5,205.0,72.3,7.0,6.2,8.072865017,3.99266167,0.262625029,8.133763574,8.910220181,24.55734328
37049.0,23.3,46,56.9,43.9,9.3,19.2,4.5,263.2,231.8,81.7,7.3,6.3,16.59570951,7.790125369,0.355781178,15.74331711,13.81987512,43.55354583
38093.0,24.3,25,55.8,36.8,12.9,16.2,4.0,273.1,236.3,79.0,7.0,6.3,9.646763249,1.877406368,0.344426431,10.75909123,7.724186201,30.67371457
53107.0,26.7,41,40.4,30.4,6.1,10.3,3.1,240.4,219.1,84.8,9.2,8.6,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562
47153.0,27.4,16,51.6,39.4,10.0,14.5,3.7,227.6,206.5,80.5,6.8,6.3,5.498702561,2.786187899,0.465480911,4.035284157,5.99097374,12.76891161
56954.0,25.8,15,48.5,35.7,7.8,11.8,3.3,218.2,193.1,77.9,6.9,6.5,10.29404162,4.568583509,0.631996312,6.844841413,11.57410195,21.88956718
51441.0,22.3,17,48.4,31.8,10.8,13.8,3.3,230.9,214.6,72.9,8.3,7.6,66.38595543,22.30966328,2.375775501,44.68720585,42.99022335,146.0762537
39491.0,22.2,0,52.3,35.4,12.5,15.6,3.8,217.1,196.7,71.2,7.6,6.9,37.05166217,7.81341713,1.475056318,33.37132363,27.28123962,92.62185315
63527.0,18.2,1,45.4,32.4,7.8,10.9,3.0,276.9,256.7,105.6,9.6,8.5,4.502941264,3.245870161,0.19700368,2.045085824,5.553627559,7.936433978
53134.0,24.0,17,49.0,35.9,9.6,12.8,3.0,230.9,214.6,72.9,8.3,7.6,33.36566629,11.21286536,1.194067812,22.45984694,21.60694136,73.41811234
56651.0,17.8,3,46.6,34.5,8.0,10.8,2.8,207.6,188.2,75.0,7.0,6.5,31.89381766,5.107898767,2.150694217,21.97129661,41.18090632,88.88721442
56500.0,33.3,4,37.5,26.9,8.2,11.6,3.6,279.6,243.8,87.1,7.2,6.2,21.25194503,10.91550855,0.494968747,30.83283033,20.95413654,81.0301065
40467.0,21.8,18,53.2,43.6,9.8,15.7,3.9,260.3,231.8,75.8,9.1,7.8,79.88,39.98327331,8.236450043,84.99,70.31,237.56
51394.0,22.2,44,44.3,35.1,6.8,11.9,3.2,216.2,199.9,62.2,5.8,5.4,7.739281992,5.116774672,0.34624791,6.226050384,6.745422249,23.69874585
50301.0,27.9,35,54.3,41.7,12.0,14.7,3.6,292.7,248.6,83.7,8.3,7.1,7.839192495,2.902539232,0.251830327,10.26273487,7.017498697,29.57318818
60767.0,15.4,44,41.1,33.8,6.5,9.9,2.8,216.2,199.9,62.2,5.8,5.4,7.622824297,5.039779444,0.341037707,6.132363208,6.643919769,23.34213637
68878.0,25.7,45,32.4,25.1,6.4,8.7,2.7,367.1,322.7,121.5,11.7,9.9,22.66909575,14.58142357,0.826477449,24.61722117,22.01972061,71.43126526
61314.0,27.6,38,44.0,33.1,8.1,11.1,3.2,320.5,273.3,88.2,8.7,7.2,9.97377384,8.073871755,0.283418677,14.7776492,10.26004095,38.12194836
46300.0,26.4,46,51.9,38.7,10.0,15.5,4.0,263.2,231.8,81.7,7.3,6.3,5.156882651,2.420671579,0.110553983,4.892013734,4.294331265,13.53365005
65883.0,25.5,35,45.2,34.7,8.5,11.8,3.0,292.7,248.6,83.7,8.3,7.1,79.88,42.78,3.825650189,84.99,70.31,237.56
45254.0,22.0,25,47.0,35.7,9.9,12.3,3.3,273.1,236.3,79.0,7.0,6.3,23.72760188,4.617751025,0.847166353,26.46353256,18.99874707,75.44641336
38318.0,34.2,3,50.5,33.9,12.7,15.9,4.2,207.6,188.2,75.0,7.0,6.5,3.864132788,0.61885345,0.260569874,2.661958143,4.98932088,10.76923444
65831.0,21.6,49,41.0,32.9,6.5,9.2,2.8,264.9,238.3,86.4,7.9,7.1,44.52984621,26.94341238,1.947540134,44.69092096,47.97098856,134.6731324
56556.0,21.0,43,51.1,40.6,8.7,12.7,3.2,224.8,199.9,66.5,6.2,5.4,28.82611902,17.01323368,1.522834368,31.62137904,27.98754101,98.70179621
47560.0,32.2,4,40.8,28.4,9.3,12.9,4.0,279.6,243.8,87.1,7.2,6.2,17.03771695,8.750979958,0.396817204,24.7187274,16.79896342,64.96196073
53612.0,23.3,16,47.7,38.6,7.6,12.4,3.1,227.6,206.5,80.5,6.8,6.3,79.88,42.78,8.474091922,73.46245155,70.31,232.4583633
49321.0,33.1,27,47.1,36.4,8.4,12.5,3.6,239.2,214.5,80.3,6.8,6.2,1.842172783,1.449058399,0.163944563,1.575983223,2.221184408,4.839008888
59913.0,25.8,41,40.9,32.6,6.3,10.3,3.1,240.4,219.1,84.8,9.2,8.6,2.973423181,2.539668002,0.358319495,2.131058051,3.400892053,6.022282045
46191.0,34.1,27,48.0,38.4,9.4,13.3,3.9,239.2,214.5,80.3,6.8,6.2,1.610343923,1.266701153,0.143312904,1.377653079,1.941658702,4.230042171
