Median_Household_Income_2018,Percent of Population Aged 60+,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Total physician assistants (2019),Family Medicine/General Practice Primary Care (2019)
61773.0,21.8,42.6,32.6,7.7,10.7,3.0,4.172021179,9.74335381
60862.0,18.1,34.3,25.4,6.6,11.6,3.2,42.78,70.31
44041.0,27.8,53.0,38.2,9.7,13.8,3.6,4.416779758,7.265803017
46628.0,17.4,47.6,37.4,7.6,14.3,3.4,42.78,62.9574917
43478.0,22.5,50.4,38.6,9.8,15.1,3.6,1.225480742,12.56404088
35871.0,23.8,55.2,40.1,10.0,18.1,4.3,3.99266167,8.910220181
37049.0,23.3,56.9,43.9,9.3,19.2,4.5,7.790125369,13.81987512
38093.0,24.3,55.8,36.8,12.9,16.2,4.0,1.877406368,7.724186201
53107.0,26.7,40.4,30.4,6.1,10.3,3.1,1.282655982,1.717616055
47153.0,27.4,51.6,39.4,10.0,14.5,3.7,2.786187899,5.99097374
56954.0,25.8,48.5,35.7,7.8,11.8,3.3,4.568583509,11.57410195
51441.0,22.3,48.4,31.8,10.8,13.8,3.3,22.30966328,42.99022335
39491.0,22.2,52.3,35.4,12.5,15.6,3.8,7.81341713,27.28123962
63527.0,18.2,45.4,32.4,7.8,10.9,3.0,3.245870161,5.553627559
53134.0,24.0,49.0,35.9,9.6,12.8,3.0,11.21286536,21.60694136
56651.0,17.8,46.6,34.5,8.0,10.8,2.8,5.107898767,41.18090632
56500.0,33.3,37.5,26.9,8.2,11.6,3.6,10.91550855,20.95413654
40467.0,21.8,53.2,43.6,9.8,15.7,3.9,39.98327331,70.31
51394.0,22.2,44.3,35.1,6.8,11.9,3.2,5.116774672,6.745422249
50301.0,27.9,54.3,41.7,12.0,14.7,3.6,2.902539232,7.017498697
60767.0,15.4,41.1,33.8,6.5,9.9,2.8,5.039779444,6.643919769
68878.0,25.7,32.4,25.1,6.4,8.7,2.7,14.58142357,22.01972061
61314.0,27.6,44.0,33.1,8.1,11.1,3.2,8.073871755,10.26004095
46300.0,26.4,51.9,38.7,10.0,15.5,4.0,2.420671579,4.294331265
65883.0,25.5,45.2,34.7,8.5,11.8,3.0,42.78,70.31
45254.0,22.0,47.0,35.7,9.9,12.3,3.3,4.617751025,18.99874707
38318.0,34.2,50.5,33.9,12.7,15.9,4.2,0.61885345,4.98932088
65831.0,21.6,41.0,32.9,6.5,9.2,2.8,26.94341238,47.97098856
56556.0,21.0,51.1,40.6,8.7,12.7,3.2,17.01323368,27.98754101
47560.0,32.2,40.8,28.4,9.3,12.9,4.0,8.750979958,16.79896342
53612.0,23.3,47.7,38.6,7.6,12.4,3.1,42.78,70.31
49321.0,33.1,47.1,36.4,8.4,12.5,3.6,1.449058399,2.221184408
59913.0,25.8,40.9,32.6,6.3,10.3,3.1,2.539668002,3.400892053
46191.0,34.1,48.0,38.4,9.4,13.3,3.9,1.266701153,1.941658702
49991.0,24.8,49.1,36.6,8.8,13.6,3.4,7.461554076,16.04413491
48778.0,35.3,44.2,36.0,8.6,12.8,3.7,1.28800457,1.974313574
36976.0,27.9,56.7,41.0,11.6,18.0,4.5,13.55904588,12.86223494
56383.0,26.8,38.0,25.4,6.6,12.2,3.4,22.21367893,69.32931641
62097.0,19.3,38.9,33.1,6.0,9.1,2.7,42.78,70.31
60572.0,25.0,47.5,32.9,9.8,11.7,3.3,2.113913106,5.135485532
43651.0,23.4,54.1,39.0,12.4,14.5,3.6,7.700273412,16.05946284
54165.0,31.7,40.4,29.9,8.5,11.5,3.5,2.387117322,5.574882689
33437.0,23.5,59.1,43.2,11.2,19.2,4.6,0.359242666,3.683076681
35308.0,26.6,55.7,39.4,13.1,18.4,4.6,4.791277071,8.407054487
43119.0,30.7,47.7,32.4,11.0,13.5,3.7,0.221433221,0.911039538
50376.0,25.7,44.7,33.3,9.6,13.9,3.7,6.684861502,11.41852854
50949.0,26.2,44.4,36.3,8.4,12.1,3.2,2.195230302,4.720272849
73309.0,14.0,42.5,33.0,7.0,10.4,2.6,42.78,53.19220627
39057.0,24.3,52.7,36.6,11.1,16.4,3.9,1.513100489,5.283124698
48779.0,25.1,46.1,30.8,10.1,12.6,3.3,5.131805722,5.261373405
55303.0,28.0,47.1,34.7,7.3,11.1,3.2,4.558853918,11.54945289
37445.0,22.4,50.9,37.1,10.1,13.9,3.6,1.901419677,3.33634198
65771.0,20.4,44.4,36.2,7.5,11.1,2.9,1.724007343,3.707030213
54165.0,19.6,39.1,32.0,7.0,12.6,3.1,42.78,70.31
48192.0,22.7,49.1,36.5,9.4,14.8,3.8,4.119394051,6.145762646
49609.0,34.1,42.2,32.2,6.6,11.3,3.3,0.424957069,0.569063798
41201.0,32.3,53.9,39.7,13.0,14.8,4.1,7.929380752,12.62454673
56408.0,20.8,44.0,36.8,7.8,12.0,3.1,42.78,70.31
43200.0,18.6,39.1,30.1,6.9,9.9,2.9,20.2671092,35.95435309
55159.0,30.1,42.4,30.5,6.8,11.2,3.4,1.344018317,1.799786905
68724.0,22.1,45.6,35.6,7.8,11.5,3.0,4.180217747,7.415809695
64344.0,28.2,43.3,34.2,7.8,11.8,3.4,3.019138379,6.989273701
35070.0,25.0,55.1,41.2,12.3,17.6,4.4,6.385881221,14.91981636
63248.0,19.2,52.3,42.3,8.8,13.8,3.5,1.126762963,2.422811226
60596.0,26.8,46.6,35.6,9.9,12.9,3.2,1.043389464,4.103175372
42307.0,26.1,53.3,37.6,12.8,15.0,3.9,6.185592219,8.405826945
45615.0,18.5,49.9,37.9,8.2,11.5,2.9,7.52818163,60.69371314
40650.0,39.5,54.4,36.8,13.4,15.9,4.4,3.506381857,5.582589988
35906.0,25.2,57.1,39.1,15.2,16.9,4.1,2.21322522,4.264835617
51751.0,21.0,40.9,31.3,8.2,9.9,2.8,21.76263385,15.85762592
122035.0,18.0,27.5,22.2,4.3,8.4,2.3,42.78,70.31
45512.0,24.0,56.2,41.2,12.4,16.4,3.5,9.944729234,19.16327134
42469.0,27.0,50.3,37.6,10.0,15.4,3.9,0.798424143,1.313443927
51258.0,26.3,49.9,34.0,9.9,11.9,3.4,6.815061831,16.556334
42053.0,23.4,50.4,33.9,12.5,13.5,3.7,0.539037929,2.217756052
36779.0,17.5,50.4,37.2,11.8,16.8,4.1,2.62409664,2.690349756
43031.0,22.3,50.6,39.4,9.4,15.7,3.9,2.773074374,4.919502541
50131.0,21.8,50.9,35.9,8.7,14.2,3.5,13.58379637,22.3459611
37338.0,26.8,58.2,41.9,12.2,16.5,4.2,2.00006746,3.509435139
74686.0,23.9,40.6,29.9,7.3,12.4,3.0,10.90342674,11.17871614
54915.0,24.8,45.5,33.7,8.8,11.2,3.2,6.693601798,16.26126215
44688.0,25.8,49.1,34.9,12.8,14.9,3.7,1.454871706,3.034237468
54984.0,28.4,43.7,32.6,7.0,11.1,3.2,3.148409964,8.141483034
37812.0,35.9,53.1,37.9,9.6,18.7,4.6,0.392494071,0.645670548
33085.0,31.6,48.1,32.7,9.7,16.5,4.6,2.095321815,4.470282443
48323.0,21.6,45.3,32.8,9.1,13.6,3.4,6.00914019,6.160858788
75534.0,22.3,42.9,31.6,8.2,11.5,2.8,7.900489967,31.06902741
65379.0,16.0,39.9,30.4,5.9,9.3,2.6,2.916983144,3.84544645
46633.0,17.1,46.0,36.4,6.1,14.2,3.8,36.39109946,69.858776
69114.0,20.4,43.5,32.3,8.1,11.4,3.0,15.44752413,27.10512774
47441.0,33.8,48.8,37.6,11.0,13.4,3.7,3.442801484,5.481362236
58261.0,34.8,48.6,34.2,8.1,13.0,3.7,1.181773689,3.055952226
44171.0,25.0,37.2,26.4,7.1,11.6,3.6,4.438322526,5.378527921
36311.0,26.4,55.3,41.0,11.1,18.1,4.4,0.359099356,3.681607417
75027.0,21.4,46.5,35.4,9.8,12.6,2.9,21.0151044,39.04153376
48792.0,33.7,54.3,38.6,12.5,16.7,4.0,2.745686578,6.638274436
46220.0,46.2,43.4,34.3,8.2,12.5,3.8,0.290578603,0.445412457
59901.0,24.4,46.3,32.5,9.2,10.8,3.2,2.878465876,6.992870149
48056.0,26.2,51.3,35.1,12.0,14.3,3.6,3.254841869,6.788202085
42435.0,21.7,53.6,41.3,9.8,14.8,3.6,2.452788688,25.14681487
42701.0,22.0,43.4,31.2,7.5,11.8,3.5,16.95476628,36.17229272
37586.0,24.7,56.0,41.9,11.1,18.0,4.2,2.182305957,7.619715005
58992.0,27.9,39.0,29.2,7.3,10.0,3.1,22.26927555,20.26442388
